"Professor_ID","Professor_Name","Role","University","Department","Previous_Education_1_Programme","Previous_Education_1_Institution","Previous_Education_1_Year","Previous_Education_2_Programme","Previous_Education_2_Institution","Previous_Education_2_Year","Previous_Education_3_Programme","Previous_Education_3_Institution","Previous_Education_3_Year","Previous_Education_4_Programme","Previous_Education_4_Institution","Previous_Education_4_Year","Previous_Education_5_Programme","Previous_Education_5_Institution","Previous_Education_5_Year","Total_Publications"
213705,"Dr Pappa M","Assistant Professor","Sri Meenakshi Government Arts College for Women, Madurai","Department of Economics","PhD","Madurai Kamaraj University, Madurai",2014,,,,,,,,,,,,,
212937,"Prof Paramita Barman Sen","Assistant Professor","St. Xavier's University, Kolkata","Economics","MPhil Economics","University of Calcutta",2014,"MA Economics","Jawaharlal Nehru University",2012,"BSc Economics","St. Xavier's college",2010,,,,,,,12
325860,"Dr Paramita Mukherjee","Professor","Narsee Monjee Institute of Management Studies, Mumbai","Department of Economics","PhD","Jadavpur University",,,,,,,,,,,,,,
493783,"Dr Paramita Roy Biswas","Assistant Professor (Grade-II)","Victoria Institution","Economics","PhD","Jadavpur University",2011,"M. Phil","Jadavpur University",2004,"M.A.","Jadavpur University",2000,"B.A.","Jadavpur University",1998,,,,10
58014,"Dr Paramita Saha","Associate Professor","Tripura University","Department of Economics","Ph.D","",,,,,,,,,,,,,,
58083,"Dr Paramjeet Kaur Dhindsa","Professor","Guru Nanak Dev University","School of Punjabi Studies","Ph.D","",,,,,,,,,,,,,,2
44590,"Dr Paramjit Kaur Dhindsa","Professor","Guru Nanak Dev University","Department of Economics","Ph.D.","Guru Nanak Dev University",,,,,,,,,,,,,,83
151377,"Dr Parimalarangan R","Assistant Professor","Tamil Nadu Agricultural University","Department of Agricultural Economics","Ph.D","Horticultural College and Reasearch Institute",2014,,,,,,,,,,,,,
325726,"Dr Parinaaz Mehta","Assistant Professor","Narsee Monjee Institute of Management Studies, Mumbai","Department of Economics","PhD","Mumbai University",,,,,,,,,,,,,,
252413,"Dr Parnasudha Karmodak","Faculty","Bankura Sammilani College","Department of Economics","Ph. D.","University of Burdwan",2018,"M.Sc.","University of Burdwan",2012,,,,,,,,,,5
208197,"Dr Parvathamma G.L.","Professor","Bangalore University","Department of Economics","Ph.D","Bangalore University",2009,,,,,,,,,,,,,
192892,"Dr Parvathi Chinnan","Associate Professor","Avinashilingam Institute for Home Science and Higher Education for Women, Coimbatore","Economics","PhD","Avinashilingam Institute for Home Science and Higher Education for Women, Coimbatore",2011,,,,,,,,,,,,,
371637,"Dr Parvathi P","Assistant Professor","Kandaswami Kandars College","PG and Research Department of Economics","PhD","Manonmaniam Sundaranar University, Tirunelveli.",2012,,,,,,,,,,,,,
371634,"Dr Parvathi S","Associate Professor","Kandaswami Kandars College","PG and Research Department of Economics","PGDYE","Alagappa University",2015,"PhD","Periyar University",2014,"M.B.A (HRM)","Alagappa University",2014,"NET","UGC",2000,"M.Phil.,","Kandaswami Kandars College",1999,115
197065,"Dr Pavithra B S","Assistant Professor","University of Agricultural Sciences, Bangalore","Agricultural Economics","PhD","University of Agricultural Sciences, Bangalore",2013,,,,,,,,,,,,,
141189,"Dr Payal Sharma","Assistant Professor","Goswami Ganesh Dutta Sanatan Dharma College","Department of Economics","Ph.D","Goswami Ganesh Dutta Sanatan Dharma College",2013,,,,,,,,,,,,,11
112111,"Dr Pearly Antony O","Assistant Professor (Grade-II)","St. Teresas College (Autonomous), Ernakulam","Department of Economics","Ph.D","Mahatma Gandhi University, Kerala",2019,"NET (Economics)","",2006,"NET (Education)","",2004,"M.Ed","Mahatma Gandhi University, Kerala",2003,"S.E.T","",2002,6
251191,"Dr Pinky Sra","Assistant Professor","Khalsa College, Amritsar, Punjab","ECONOMICS","Ph.D","Guru Nanak Dev University",2015,,,,,,,,,,,,,15
90629,"Dr Piyali Das","Assistant Professor","Indian Institute of Management, Indore","Department of Economics","Ph.D","Indiana University, Bloomington, USA",2016,,,,,,,,,,,,,
192893,"Dr Ponmani R ","Professor","Avinashilingam Institute for Home Science and Higher Education for Women, Coimbatore","Economics","PhD","Avinashilingam Institute for Home Science and Higher Education for Women, Coimbatore",2016,,,,,,,,,,,,,
256930,"Dr Pooja Singh","Assistant Professor","Chhatrapati Shahu Ji Maharaj University","Department of Economics","P.hd","SN",2013,,,,,,,,,,,,,
268272,"Dr Poonam Bewtra","Associate Professor","Janki Devi Memorial College","Department of Commerce","Ph D","Delhi School of Economics",2002,,,,,,,,,,,,,14
445047,"Dr Poonam Mishra","Assistant Professor","Manipal University Jaipur","Department of Economics","PhD","Dr H S Gour Central University",2018,,,,,,,,,,,,,
478138,"Dr Poonam Verma","Principal","Shaheed Sukhdev College of Business Studies","Administration","PhD","",,,,,,,,,,,,,,
339187,"Dr Porselvi T","Associate Professor","Nehru Memorial College","Department of Economics","Ph.D","Bharathidasan University",2007,"M.Phil","St.Joseph college",2001,"M.A","Bharathidasan University",1998,,,,,,,2
216739,"Dr Poulami Chatterjee","Assistant Professor","St. Xavier's University, Kolkata","Economics","PhD","Jawaharlal Nehru University",2020,,,,,,,,,,,,,6
113768,"Dr Poulomi Bhattacharya","Associate Professor","Tata Institute of Social Sciences","School of Livelihoods and Development","Ph.D","Institute for Social and Economic Change",,,,,,,,,,,,,,8
124370,"Dr Poulomi Roy","Assistant Professor","Jadavpur University","Department of Economics","Ph.D","",,,,,,,,,,,,,,6
158415,"Dr Prabha Bhola","Assistant Professor (Grade-I)","Indian Institute of Technology Kharagpur","Rajendra Mishra School of Engineering Entrepreneurship","Ph.D","",,,,,,,,,,,,,,24
170886,"Dr Prabhati Panda","Assistant Professor","Gangadhar Meher University","School of Economics","PhD","",,,,,,,,,,,,,,
158457,"Prof Prabina Rajib","Professor","Indian Institute of Technology Kharagpur","Vinod Gupta School of Management","Ph.D","",,,,,,,,,,,,,,20
93481,"Dr Pragati Jain","Assistant Professor","Central University of Rajasthan","Department of Economics","PhD","Mohanlal Sukhadia University, Udaipur",2007,,,,,,,,,,,,,14
74373,"Dr Prajna Paramita Mishra","Assistant Professor","University of Hyderabad","School of Economics",,,,,,,,,,,,,,,,47
281711,"Dr Pranti Dutta","Assistant Professor","Assam Don Bosco University","Department of Economics","PhD","Indian Institute of Technology Guwahati",2018,"MA","Indian Institute of Technology Guwahati",2011,,,,,,,,,,5
439716,"Dr Prarthna Agarwal Goel","Assistant Professor","Guru Gobind Singh Indraprastha University","School of Humanities and Social Sciences","PhD","Jawaharlal Nehru University",2020,,,,,,,,,,,,,
88633,"Dr Prasanna josphen Ravulakollu","Lecturer","Government College for Women (A), Guntur","Economics","Ph.D","Acharya Nagarjuna University",2018,,,,,,,,,,,,,4
267065,"Prof Pratibha Tiwari","Professor","Himachal Pradesh University","Department of Economics","PhD","Himachal Pradesh University",2015,,,,,,,,,,,,,
112201,"Dr Praveena K","Assistant Professor","Thiagarajar College of Engineering","Economics","Ph.D","",,,,,,,,,,,,,,
254014,"Dr Praveena Kodoth","Professor","Centre for Development Studies","Economics","PhD","University of Hyderabad",1999,,,,,,,,,,,,,13
138357,"Prof Preeta George","Professor","S P Jain Institute of Management and Research","Centre for Economics","PhD","Birla Institute of Science and Technology, Pilani",2013,,,,,,,,,,,,,
254229,"Dr Preethi Mohan","Assistant Professor","Bharathi Womens College","Economics","PhD","University of Madras",2010,,,,,,,,,,,,,
312611,"Dr Preeti  Bhatia","Assistant Professor","Govt. College of Education, Patiala","Economics","Ph.D","Punjabi University",2018,,,,,,,,,,,,,3
264386,"Dr Preeti Anand","Associate Professor","Womens Christian College","Corporate Economics","PhD","",,,,,,,,,,,,,,
246086,"Dr Preeti Chhabra","Associate Professor","Manav Rachna International Institute of Research and Studies","Department of Commerce","Ph.D","CMJ University",2017,,,,,,,,,,,,,17
490653,"Dr Preeti Sharma","Professor","Chandigarh Business school of Administration, Landran","Commerce","Ph.D","Punjabi University",2017,,,,,,,,,,,,,
246158,"Dr Preeti Singh","Associate Professor","Manav Rachna International Institute of Research and Studies","Department of Economics","Ph.D","Banaras Hindu University",2009,"M.A. Economics","Banaras Hindu University",2004,"B.A. (Hons.) Economics","Banaras Hindu University",2002,,,,,,,7
179748,"Dr Preeti sharma","Assistant Professor","Seth Navrang Rai Lohia Jai Ram Girls College, Lohar -Majra","Economics","Ph.d","HPU",2015,,,,,,,,,,,,,
454490,"Dr Prema Basargekar","Professor","Somaiya Vidyavihar University","Department of Economics","PhD","BITS Pilani",2012,,,,,,,,,,,,,2
174027,"Dr Premalatha R","Assistant Professor","Vels Institute of Science, Technology and Advanced Studies (VISTAS)","Economics","Ph.D","Vels Institute of Science, Technology and Advanced Studies (VISTAS)",2022,"SET","Mother Terasa",2015,"M.Phil(Eco)","Queen Marys College, Chennai",2002,"M.A.","Queen Marys College, Chennai",2000,,,,34
203567,"Dr Prerna  Jain ","Associate Professor","Jaipuria Insitute of Management","General Management (Jaipur Campus)","PhD","Mohan Lal Sukhadia University, Udaipur",2003,,,,,,,,,,,,,
325856,"Dr Prerona Baruah","Assistant Professor","Narsee Monjee Institute of Management Studies, Mumbai","Department of Economics","PhD","Indian Institute of Technology, Guwahati",,,,,,,,,,,,,,
406508,"Dr Princy P James","Assistant Professor","Bishop Kurialacherry College For Women, Amalagiri P.O Kottayam 686 561","Economics","Ph.D","Bishop Kurialacherry College for Women",2020,"Ph.D","Bishop Kurialacherry College For Women, Amalagiri P.O Kottayam 686 561",2020,,,,,,,,,,4
55898,"Prof Pritha Dev","Professor","Indian Institute of Management, Ahmedabad","Economics","Ph.D","New York University, USA",2008,,,,,,,,,,,,,9
338804,"Dr Priti Gupta","Assistant Professor","Bhupendra Narayan Mandal University, Madhepura","Department of Economics","PhD","",,,,,,,,,,,,,,
246333,"Dr Priya Vij","Associate Professor","Manav Rachna International Institute of Research and Studies","Department of Economics","PhD","Punjab Technical University",2018,"UGC NET","UGC",2010,"MBE","Panjab University, Chandigarh",2009,"BA(H) Economics","Himachal Pradesh University",2007,,,,8
303704,"Dr Priyanka Chatterjee","Assistant Professor","Bennett University","Law","PhD","Jawaharlal Nehru University",2018,,,,,,,,,,,,,
305559,"Mr Priyanka Devi","Assistant Professor","University of Science and Technology Meghalaya","Department of Economics","MA","",,,,,,,,,,,,,,
316613,"Dr Priyanka Murria","Associate Professor","Institute of Innovation in Technology and Management","Department of Management Studies and Commerce","PH.D","Guru Nanak Dev University",2015,"MPHIL","VINAYAKA MISSIONS UNIVERSITY",2009,"UGC NET","UGC",2009,"MBE","NDIM",2008,"CA PE 2","ICAI",2008,13
493966,"Dr Puja Biswas","Assistant Professor (Grade-I)","Prasanta Chandra Mahalanobish Mahavidyalaya","Economics","Ph.D","Jadavpur University",2024,,,,,,,,,,,,,
51808,"Dr Puja Padhi","Professor","Indian Institute of Technology Bombay","Department of Humanities and Social Sciences","Ph.D","Hyderabad Central University",,,,,,,,,,,,,,26
264271,"Dr Puja Pal","Assistant Professor","Janki Devi Memorial College","Department of Economics","Ph.D","Jawaharlal Nehru University",2021,,,,,,,,,,,,,10
122062,"Dr Purba  Chattopadhyay","Assistant Professor","Calcutta University","Department of Home Science","Ph.D","Jadavpur University",,,,,,,,,,,,,,2
252522,"Prof Purnamita Dasgupta","Professor","Institute of Economic Growth","Environmental and Resource Economics Unit","Ph.D","Jawaharlal Nehru University, New Delhi",,,,,,,,,,,,,,28
218174,"Dr Purnima Srivastava","Associate Professor","Chaudhary Mahadeo Prasad Degree College","Department of Economics","D.Phil","University of Allahabad, Prayagraj",1983,,,,,,,,,,,,,
51796,"Dr Pushpa L Trivedi","Professor","Indian Institute of Technology Bombay","Department of Humanities and Social Sciences","Ph.D","University of Mumbai",1988,,,,,,,,,,,,,11
59641,"Prof Pushpa M Savadatti","Senior Professor","Central University of Karnataka","Department of Economics","M. Sc. , PGDEC","London",1992,"M.A., Ph.D., PGDCA","Karnatak University, Dharwad",1986,,,,,,,,,,1
332110,"Dr Pushpa Sinha","Professor","Patna University","","Ph.d","Bhagalpur University",1986,,,,,,,,,,,,,29
254423,"Dr Pushpavalli Gangadharan","Assistant Professor","Bharathi Womens College","Economics","PhD","",2023,"M. A M. Phil","Presidency College",2001,,,,,,,,,,2
360776,"Dr Putta Madhavi","Assistant Professor","Sri Padmavati Mahila Vishwavidyalayam","Department of Economics","Ph.D","Sri Krishnadevaraya University , Anantapuram",2012,"M.Phil.","Sri Krishnadevaraya University , Anantapuram",2002,"MA","Sri Krishnadevaraya University , Anantapuram",1993,,,,,,,1
442477,"Dr R  Selvamani","Assistant Professor","Ethiraj College for Women, Chennai","Department of Business Economics","Ph.D","Ethiraj College for Women, Chennai",2022,"M.Phil","Ethiraj College for Women, Chennai",2016,"M.A","Ethiraj College for Women, Chennai",1993,"B.A","Bharathi Womens College",1991,,,,14
253981,"Dr R Manjula","Assistant Professor","Institute for Social and Economic Change","Centre for Decentralisation and Development (CDD)","Ph.D","",,,,,,,,,,,,,,
199286,"Dr R Rajini","Associate Professor","Sri GVG Visalakshi College for Women","Department of Economics","Ph.D","Arignar Anna Government Arts College Musiri, Manapparai, Tamil Nadu",2017,"M.Phil","St. Joseph's College, Tiruchirappalli.",2000,"M.A","Seethalakshmi Ramaswami College, Tiruchirappalli, Tamil Nadu.",1999,,,,,,,35
102171,"Dr R Suji Karthika","Assistant Professor","Fatima College","The Research Centre of Economics","Ph.D","Madurai Kamraj University",2017,,,,,,,,,,,,,
