"Professor_ID","Professor_Name","Role","University","Department","Previous_Education_1_Programme","Previous_Education_1_Institution","Previous_Education_1_Year","Previous_Education_2_Programme","Previous_Education_2_Institution","Previous_Education_2_Year","Previous_Education_3_Programme","Previous_Education_3_Institution","Previous_Education_3_Year","Previous_Education_4_Programme","Previous_Education_4_Institution","Previous_Education_4_Year","Previous_Education_5_Programme","Previous_Education_5_Institution","Previous_Education_5_Year","Total_Publications"
117125,"Dr Reeta Tomar","Assistant Professor","CHRIST University","Department of Economics","Ph.D","Panjab University, Chandigarh",2013,"M Phil","Panjab University",2007,"MA","Vikram University",2001,,,,,,,2
308736,"Dr Reetika Garg","Assistant Professor","University of Delhi","Department of Economics","PhD","University of Delhi",2015,,,,,,,,,,,,,1
60808,"Prof Reetika Khera","Professor","Indian Institute of Technology Delhi","Department of Humanities and Social Sciences","Post-doctoral","Princeton University",2007,"Ph.D. (Economics))","University of Delhi",,"M.Phil. (Development Studies)","University of Sussex",,,,,,,,41
102070,"Prof Reetika Khera","Professor","Indian Institute of Management, Ahmedabad","Economics","Ph.D","Delhi School of Economics, University of Delhi, Delhi",2006,,,,,,,,,,,,,40
236038,"Dr Regi Manimegala","Associate Professor","Stella Maris College","Economics","Ph.D","University of Madras",2011,,,,,,,,,,,,,
320388,"Dr Rekha Gupta","Assistant Professor","University of Allahabad","Department of Economics","PhD","",,,,,,,,,,,,,,
200639,"Dr Rekha Morais F","Assistant Professor","V. O. Chidambaram College","Department of Economics","M. A, M. Phil, SLET","V. O. Chidambaram College",2004,,,,,,,,,,,,,7
397634,"Dr Rekha Ravindran","Assistant Professor (Grade-II)","Indian Institute of Technology Bhilai","Department of Liberal Arts","Ph.D","Indian Institute of Technology Madras",2022,,,,,,,,,,,,,3
221052,"Dr Rekha Sharma","Associate Professor","Sri Guru Gobind Singh College of Commerce","economics","Ph.D","Delhi School of Economics, University of Delhi",2007,"M.Phil","Delhi School of Economics, University of Delhi",1994,"MA","Delhi School of Economics, University of Delhi",1989,,,,,,,
386507,"Dr Rekha Tiwary","Associate Professor","Amity University, Patna","Amity School of Business","PhD","Patna University",2017,,,,,,,,,,,,,
173245,"Dr Renu Markande DUBEY","Assistant Professor","St. Aloysius College, Jabalpur","Department of Arts","Ph.d ECONOMICS","Rani Durgavati University Jabalpur M.P",2015,"UGC NET ECONOMICS","Rani Durgavati Vishwavidyalaya",2007,"MED","Rani Durgavati University Jabalpur M.P",2007,"M.A ECONOMICS","",2003,,,,12
460509,"Dr Renu Verma","Professor","K R Mangalam University","School of Humanities",,,,,,,,,,,,,,,,
111874,"Dr Renuka Kuppuswamy","Head of the Department","PSGR Krishnammal College for Women","B.A. Economics (Aided)","Ph.D","Bharathiar University",2018,,,,,,,,,,,,,8
314174,"Dr Renuka Rani","Assistant Professor","Govt. Ranbir College, Sangrur","Economics","Ph.d","Punjabi University patiala",2015,"M.phil","Punjabi University patiala",2003,"MA Economics","Punjabi University Regional centre Bathinda",1998,"NET","U G C",1998,"B.ed","Govt B.ed college Faridkot",1996,43
111701,"Dr Resmi C Panicker","Assistant Professor","Government College for Women, Srikakulam","Department of Economics","Ph.D","University of Kerala",,,,,,,,,,,,,,
48758,"Dr Rezina Sultana","Associate Professor","Indian Institute of Management, Udaipur","Economics","Ph.D","Bar-Ilan University, Israel",2011,,,,,,,,,,,,,2
202551,"MS Richa Agarwal","Assistant Professor","K.R. Mangalam University","School of Humanities","M.Phill","GJU, KUK",2003,,,,,,,,,,,,,
229765,"Dr Richa Shukla","Assistant Professor","Birla Institute of Technology and Science, Pilani","Department of Economics and Finance","Ph.D","Indian Institute of Technology Bombay",2018,,,,,,,,,,,,,4
208591,"Dr Ridhima Gupta","Assistant Professor","South Asian University","Faculty of Economics","Ph.D","Indian Statistical Institute, New Delhi",2015,,,,,,,,,,,,,2
524657,"Dr Rita  Raninga","Assistant Professor","SHRI M.M.GHODASARA MAHILA ARTS & COMM.COLLEGE-JUNAGADH","Economics","M.A. ,MPhil. ,Ph.D.","Shree M.M.Ghodasara mahila arts and commerce College Junagadh",2015,,,,,,,,,,,,,
169014,"Dr Rittu Varkey","Assistant Professor","Christ University","Department of Economics","PHD","Central University of Tamil Nadu",2019,"M.Sc","Pondicherry University",2015,,,,,,,,,,7
355396,"Dr Ritu Kang Walia","Assistant Professor","R.K.S.D. College","Department of Economics","Ph.D","Kurukshetra University, Kurukshetra",2019,,,,,,,,,,,,,
294936,"Dr Ritu Raj Kaur","Assistant Professor","Guru Nanak Dev University","Guru Ramdas School of Planning","MA","",,,,,,,,,,,,,,1
157367,"Dr Rohini A","Professor","Tamil Nadu Agricultural University","Department of Agri Business Management","Ph.D","Tamil Nadu Agricultural University",2004,,,,,,,,,,,,,60
413097,"Dr Rohini Kelkar","Principal","Vidyalankar School of Information Technology","Economics","PhD","IIT Bombay",2010,"MA","Department of Economics, University of Mumbai",1987,"BA","Department of Economics, University of Mumbai",1985,"SSC","New English School Bandra (East)",1980,,,,
308734,"Prof Rohini Somanathan","Professor","University of Delhi","Department of Economics","PhD","",,,,,,,,,,,,,,
453607,"Dr Ronismita Mishra","Assistant Professor","Centurion University of Technology and Management","School of Management",,,,,,,,,,,,,,,,
468266,"Dr Roopali Goyanka","Associate Professor","Indraprastha College For Women, University of Delhi","Economics","PhD","Jawaharlal Nehru University",2007,"MA","Jawaharlal Nehru University",1991,,,,,,,,,,10
273224,"Dr Rosewine Joy","Associate Professor","Presidency University, Bangalore","Department of Management","Ph.D","Cochin University of Science and Technology",2017,,,,,,,,,,,,,
207064,"Prof Ruby Ojha","Pro Vice Chancellor","SNDT Women's University","SNDT Women's University","Ph.D.","Giri Institute of Development Studies",1989,,,,,,,,,,,,,68
62168,"Dr Ruchi Sharma","Professor","Indian Institute of Technology Indore","School of Humanities and Social Sciences","PhD","Indian Institute of Technology Kanpur",2009,,,,,,,,,,,,,46
147886,"Dr Ruchi Sharma","Assistant Professor","Goswami Ganesh Dutta Sanatan Dharma College","Department of Economics","MA Ph.D","Himachal Pradesh University",2018,,,,,,,,,,,,,13
215596,"Dr Ruchira Bhattacharya","Assistant Professor","National Institute of Rural Development and Panchayati Raj","National Resource Centre and Information Education and Communications, New Delhi","Ph.D.","Jawaharlal Nehru University",2017,,,,,,,,,,,,,26
413830,"Dr Ruhi Sonal","Assistant Professor","Indraprastha Institute of Information Technology","Department of Social Sciences and Humanities","PhD","Indian Institute of Technology Delhi",2020,,,,,,,,,,,,,3
95729,"Dr Ruma Kundu","Assistant Professor","Sikkim University","Department of Economics","Ph.D","Burdwan University",2008,,,,,,,,,,,,,
55990,"Dr Runa Sarkar","Associate Professor","Indian Institute of Management Calcutta","Economics","FPM","Indian Institute of Management Calcutta",,,,,,,,,,,,,,23
320824,"Dr Runumi Dowerah Baruah","Professor","Gauhati University","Department of Economics","PhD","",,,,,,,,,,,,,,
318740,"Dr Rupa Sarkar","Associate Professor","PES University","Faculty of Commerce and Management",,,,,,,,,,,,,,,,6
102782,"Dr Rupika  Khanna","Assistant Professor","Indian Institute of Management, Rohtak","Economics and Public Policy","Ph.D","Indian Institute of Management Lucknow",,,,,,,,,,,,,,
244673,"Dr S  Panimaya Mercy","Assistant Professor - Senior Scale","Holy Cross College (Autonomous), Nagercoil","Department of Economics","Ph.D","Manonmaniam Sundaranar University",2020,"M.Phil.","Scott Christian College",2006,"M.A.","Vivekananda College",2005,"B.A.","Annai Velankanni College, Tholayavattam",2003,,,,20
101086,"Dr S Alphonsa","Assistant Professor","St.Xaviers College, Palayamkottai","Department of Economics","Ph.D","Manonmaniam Sundaranar University",2006,,,,,,,,,,,,,6
56565,"Prof S Chinnammai","Professor","University of Madras","Department of Economics","PhD","",,,,,,,,,,,,,,
102165,"Dr S Ivy Jeno","Associate Professor","Fatima College","The Research Centre of Economics","Ph.D","Madurai Kamraj University",2008,,,,,,,,,,,,,
243006,"Dr S Jeni Sanjana","Head of the Department","Holy Cross College (Autonomous), Nagercoil","Department of Economics","M.B.A.","Tamil Nadu Open University, Chennai",2008,"Ph. D","Scott Christian College,Nagercoil.",2008,"M.Phil","Scott Christian College(Autonomous),Nagercoil.",2002,"H.D.C.A","C.S.C",2000,"M.A","Scott Christian College(Autonomous),Nagercoil.",1999,54
310339,"Dr S Kalai Vani","Assistant Professor","M V Muthiah Government Arts College for Women, Dindigul","Department of Economics","PhD","Madurai Kamaraj University",2017,,,,,,,,,,,,,
253969,"Dr S Manasi","Associate Professor","Institute for Social and Economic Change","Centre for Research in Urban Affairs (CRUA)","Ph.D","Mysore University",2002,,,,,,,,,,,,,
198989,"Dr S Padma Annakamu","Assistant Professor","PSGR Krishnammal College for Women","B.A. Economics (Aided)","Certified","MITx through edX",2021,"Ph.D.","Avinashilingam Institute for Home Science and Higher Education for Women, Coimbatore",2016,,,,,,,,,,9
103264,"Dr S Seethalakshmi","Assistant Professor","Bishop Heber College, Tiruchirappalli","Department of Economics","Ph.D","Bharathidasan University",2005,,,,,,,,,,,,,
103263,"Dr S Shanthi Getzie Ranjini Devi","Associate Professor","Bishop Heber College, Tiruchirappalli","Department of Economics","Ph.D","Bharathidasan University",2005,,,,,,,,,,,,,
34611,"Prof  S.  Indumathi","Professor","Mysore University","Department of Economics and Cooperation","Ph.D","",,,,,,,,,,,,,,
207347,"Dr S.  Valarmathi","Assistant Professor","POPES College, Sawyerpuram - 628 251","Economics","Ph.D.","POPES College, Sawyerpuram - 628 251",2017,"M.Phil.","POPES College, Sawyerpuram - 628 251",2010,"M.A. (Economics)","POPES College, Sawyerpuram - 628 251",2007,"B.A. (Economics)","POPES College, Sawyerpuram - 628 251",2005,,,,
194075,"Dr S. Valarmathi","Assistant Professor","POPES College, Sawyerpuram - 628 251","Economics","Ph.D(Economics)","POPES College, Sawyerpuram - 628 251",2017,,,,,,,,,,,,,3
410013,"Dr S.Menaka Gandhi","Assistant Professor","St. Josephs College for Women, Tirupur","Department of Commerce with Computer Applications","Ph.D","Bharathiar University",2019,,,,,,,,,,,,,
456042,"Dr Sajithamohan M","Assistant Professor","MES Mampad College, Mampad","Department of Economics","PhD","Bharathiar University",2020,,,,,,,,,,,,,10
434678,"Dr SANGEETHA  R","Assistant Professor (Grade-I)","Ethiraj College for Women, Chennai","Department of Economics","MA.,MPhil., PhD","University of Madras",2019,,,,,,,,,,,,,4
177985,"Dr SHANTHASHEELA MADASAMY","Assistant Professor (Grade-II)","The Madurai Diraviyam Thayumanavar Hindu College","Department of Economics","Ph.D.","Manonmaniam Sundaranar University, Tirunelveli",2011,"PhD","Manonmaniam Sundaranar University, Tirunelveli",2008,"M.PHIL.","V.O.C. COLLEGE, TUTICORIN",2007,"M.A.","SARAH TUCKER COLLEGE, PALAYAMKOTTAI",2005,,,,33
204661,"Dr SHANTHI G","Associate Professor","Shrimathi Devkunvar Nanalal Bhatt Vaishnav College for Women","BA.Economics (Aided)",,,,,,,,,,,,,,,,
418356,"Dr SHANTHI V","Assistant Professor","Arignar Anna Government Arts College, NAMAKKAL","Economic","Ph. D","Bharathidasan University",2020,,,,,,,,,,,,,1
272172,"Dr SHRABANTI MAITY","Associate Professor","Vidyasagar University","Department of Economics","Post Doctoral","Ghent University, Belgium",2015,,,,,,,,,,,,,62
494369,"Dr SP KRISHNAVENI","Associate Professor","Osmania University","Department of Economics","MBA","osmania university",2023,"Ph.D","Osmania University",2011,"AP SLET","UGC",1999,"MA","Osmania University",1998,"BEd","Osmania University",1997,17
434946,"Dr SUDHA S","Assistant Professor","Ethiraj College for Women, Chennai","Department of Economics","Ph.D","Annamalai University",2015,"M.Phil","Annamalai university",2009,,,,,,,,,,1
175624,"Dr SUMATHI K","Assistant Professor","Kamaraj College, Tiruchendur Road, Tuticorin - 628 003.","ECONOMICS","PH.D","KAMARAJ COLLEGE",2016,,,,,,,,,,,,,1
486112,"Dr SUNITA AHIRE","Assistant Professor","Gokhale Education Societys R.N.C.Arts, J.D.B.Commerce and N.S.C.Science College, Nashik Road, Nashik 422101","undefined","ph.D","savitribaiphule pune university",2017,"M.phil","K.T.H.M college",2013,"M.A","M.S.G.college",2008,"B.Ed","savitribaiphule pune university",2006,"B.A","savitribaiphule pune university",2004,
353435,"Dr Saakshi Jha","Assistant Professor","Indian Institute of Management, Ranchi","Economics","PhD","IIT Kanpur",2020,,,,,,,,,,,,,
210460,"Dr Saba Ismail","Associate Professor","Jamia Millia Islamia","Department of Economics","PhD","Jamia Millia Islamia University, New Delhi",,,,,,,,,,,,,,
184373,"Dr Saba Parveen","Assistant Professor","Noida International University","School of Business Management","Ph.D","Aligarh Muslim University",2018,,,,,,,,,,,,,14
355124,"Dr Sadhana  Singh","Assistant Professor","Dayanand Girls PG College, Kanpur","Economics","Ph.D","Dayanand Girls PG College, Kanpur",2008,,,,,,,,,,,,,
346199,"Dr Sadhana Patil","Professor","MVPs KSKW Arts, Science and Commerce College, Cidco, Nashik","Department of Economics","PhD","KTHM College, Nashik",2016,,,,,,,,,,,,,
108002,"Dr Sagarika Dey","Assistant Professor","Assam University","Department of Economics","Ph.D","",,,,,,,,,,,,,,4
325785,"Dr Sai Sailaja Bharatam","Assistant Professor","Narsee Monjee Institute of Management Studies, Mumbai","Department of Economics","PhD","University of Hyderabad",,,,,,,,,,,,,,
75135,"Dr Sailaja Rama","Associate Professor","Government College for Men(A), Kadapa","Department of Economics","Ph.D","Sri Venkateswara Unive",1990,,,,,,,,,,,,,
278634,"Prof Saina Baby","Assistant Professor (Grade-I)","SYMBIOSIS Institute of Business Management, Bengaluru","undefined","M.Phil","Stella Maris College",2007,,,,,,,,,,,,,10
473860,"Dr Sajitha P P","Assistant Professor","NSS COLLEGE, OTTAPPALAM","Economics","Ph.D","M G UNIVERSITY",2022,"M A","GVC Palakkad",2004,,,,,,,,,,
294896,"Dr Sakshi Sahni","Assistant Professor","Guru Nanak Dev University","Guru Ramdas School of Planning","MA","",,,,,,,,,,,,,,2
117298,"Dr Salineeta Chaudhuri","Assistant Professor","Christ University","Department of Economics","PhD","Vaikunth Mehta National Institute of Co-operative Management",2014,"MA Economics","Fergusson College",2006,"BSC Economics Honours","Tripura University",2004,,,,,,,10
434926,"Dr Salma begum","Assistant Professor","Jain University","MBA","PGDBA","",2023,"Ph.D","Bangalore University",2019,"M.A","Christ University",2013,"B.Ed","",2010,"B.A","",2007,6
302510,"Dr Sameema A","Assistant Professor","Holy Cross College, Nagercoil - 629 004.","Department of Economics","Ph.D","South Travancore Hindu College",2017,"M.Phil","Scott Christian College Autonomous Nagercoil",2008,"HDCA","CSC Computer",2008,"M.A","Holy Cross College Autonomous Nagercoil",2007,"B.A","Holy Cross College Autonomous Nagercoil",2006,44
325910,"Dr Samir Ul Hassan","Assistant Professor","Narsee Monjee Institute of Management Studies, Mumbai","Department of Economics","PhD","North Eastern Hill University",,,,,,,,,,,,,,
132841,"Dr Samita Mahapatra","Assistant Professor","MIT Art, Design and Technology University","MIT College of Management","Ph.D","Savitribai Phule Pune University",2019,,,,,,,,,,,,,16
349995,"Dr Samita Mahapatra","Assistant Professor","MIT Art, Design and Technology University","MIT College of Management","Ph.D","Savitribai Phule Pune University",2019,,,,,,,,,,,,,
310505,"Dr Sampriti  Das","Assistant Professor","Gandhi Institute of Technology and Management","Department of Economics","Ph.D","Gauhati University",2022,"MA","Gauhati University",2017,,,,,,,,,,2
65798,"Dr Sandeep Kaur","Associate Professor","Central University of Punjab","Department of Economic Studies","Ph.D","",,,,,,,,,,,,,,19
325921,"Dr Sandhya Krishnan","Assistant Professor","Narsee Monjee Institute of Management Studies, Mumbai","Department of Economics","PhD","University of Amsterdam",,,,,,,,,,,,,,
278514,"Dr Sandhyarani Das","Assistant Professor","GIET University","Department of Economics","","",,,,,,,,,,,,,,
335337,"Dr Sangeeta Arun Srivastava","Assistant Professor","Vanita Vishram Womens University","Department of Economics","PhD","",,,,,,,,,,,,,,
40400,"Dr Sangeeta Bansal","Professor","Jawaharlal Nehru University","Centre for International Trade and Development","Ph.D","",,,,,,,,,,,,,,27
114473,"Dr Sangeeta Malhotra","Associate Professor","Panjab University, Chandigarh","University School of Open Learning","M.Phil","Panjab University, Chandigarh",,,,,,,,,,,,,,
97727,"Dr Sangeeta Mehrolia","Assistant Professor","Christ University","School of Business and Management","Ph.D","Devi Ahilya Vishwavidyalaya",2016,,,,,,,,,,,,,31
164704,"Dr Sangeetha S","Assistant Professor","Tamil Nadu Agricultural University","Department of Agricultural Extension and Rural Sociology","Ph.D","Krishi Vigyan Kendra, Tindivanam",2014,,,,,,,,,,,,,
224426,"Dr Sanjeeta Kumari Devi","Assistant Professor","Kalinga Institute of Social Sciences","Department of Economics","Ph.D.","KIIT",2020,"M.Ed.","Utkal University",2006,"M.A in Analytical & Applied Economics","Utkal University",1992,,,,,,,19
289190,"Prof Sanju Karol","Director","Himachal Pradesh University","Department of Economics","PhD","HIMACHAL PRADESH UNIVERSITY",2000,,,,,,,,,,,,,33
163275,"Dr Sanjukta  Das","Associate Professor","Sambalpur University","Department of Economics","Ph.D","",,,,,,,,,,,,,,1
285187,"Dr Saradha A","Assistant Professor","Ethiraj College for Women, Chennai","Department of Economics","MBA","Anna University",2013,"SET","Bharathiar University",2012,"PhD","Ethiraj College for Women",2011,"B.Ed","IGNOU",2007,,,,11
112280,"Dr  Saradha K K","Assistant Professor","Vellalar College for Women","Department of Economics","Ph.D","Mother Teresa Women's University",2011,,,,,,,,,,,,,
47913,"Prof Sarah Z Ahmed","Professor","The Maharaja Sayajirao University of Baroda","Department of Economics","Ph.D","",,,,,,,,,,,,,,
195413,"Dr Sarasudevi S","Assistant Professor","Rani Anna Government College for Women, Tirunelveli","Department of Economics","Ph.D","M.S.University, Tirunelveli",2008,,,,,,,,,,,,,13
131613,"Dr Sargam Gupta","Assistant Professor","Indira Gandhi Institute of Development Research","IGIDR","Ph.D","Indian Statistical Institute",2019,,,,,,,,,,,,,7
86791,"Prof Sarita Agrawal","Professor","Central University of Gujarat","Centre for Studies in Economics and Planning","Certificate course in Globalisation, Labour rights and CSR","International Institute of Social Studies, The Netherlands",2009,"Ph.D","",,,,,,,,,,,18
411419,"Dr Saroj Shantanu  Prasad","Visiting Assistant Professor","Birla Institute of Technology and Science, Pilani","Department of Economics and Finance","Ph.D","Barkatullah University",2021,,,,,,,,,,,,,4
227142,"Dr Sasikaladevi N","Assistant Professor","LRG Government Arts College for Women","Department of Economics","MA","",,,,,,,,,,,,,,
458930,"Prof Saswati Chakraborty Bagchi","Assistant Professor","St. Xavier's College (Autonomous), Kolkata","Post-Graduate and Research Department of Commerce","MSc","Calcutta University",2001,,,,,,,,,,,,,1
460415,"Dr Saswati Chaudhuri","Associate Professor","St. Xavier's College (Autonomous), Kolkata","Post-Graduate and Research Department of Commerce","Ph. D","University of Calcutta",2016,,,,,,,,,,,,,36
489284,"Dr Saswati Sanyal","Principal","Rammohan College","Department of Economics","Ph.D.","University of Calcutta",2010,,,,,,,,,,,,,
252520,"Prof Saudamini Das","Professor","Institute of Economic Growth","Environmental and Resource Economics Unit","Ph.D","University of Delhi",2009,,,,,,,,,,,,,1
334336,"Dr Saurabh Mani","Associate Professor","Dayalbagh Educational Institute","Department of Economics","BCom(Hons), MBM, Ph.D","Dayalbagh Educational Institute",2002,,,,,,,,,,,,,
258676,"Dr Saurabhi Borthakur","Assistant Professor","Cotton University","Commerce","PhD","",,,,,,,,,,,,,,
371640,"Dr Sayira Banu N","Assistant Professor","Kandaswami Kandars College","PG and Research Department of Economics","PhD","Arul Anandar College, Karumathur, Madurai",2011,,,,,,,,,,,,,9
171871,"Dr Seema  Ghosh","Head of the Department","Bhavan's Vivekananda College of Science, Humanities and Commerce","Department of Bachelor of Arts","Ph.D","Osmania University",2018,,,,,,,,,,,,,9
56657,"Dr Seema Bathla","Professor","Jawaharlal Nehru University","Centre for the Study of Regional Development","Ph.D","Jawaharlal Nehru University",,,,,,,,,,,,,,28
171869,"Dr Seema Ghosh","Head of the Department","Bhavan's Vivekananda College of Science, Humanities and Commerce","Department of Economics","Ph.D","Osmania University",2018,,,,,,,,,,,,,27
61345,"Dr Seema Purushothaman","Professor","Azim Premji University","School Of Development","Ph.D","Forest Research Institute",,,,,,,,,,,,,,39
482823,"Dr Seema Saini","Assistant Professor","Indian Institute of Technology Jodhpur","School of Management and Entrepreneurship","Ph.D.","Indian Institute of Technology Kanpur",2023,"M.A.","Banaras Hindu University",2014,"B.A. (Honors)","Daulat Ram College, University of Delhi",2012,,,,,,,9
336859,"Prof Seema Sharma","Assistant Professor","Banasthali Vidyapith","Department of Economics","PhD","Banasthali Vidyapith",2008,,,,,,,,,,,,,
98783,"Dr Selvarani Michael","Assistant Professor","Loyola College, Chennai","Economics","Ph.D","Madurai Kamraj University",2014,,,,,,,,,,,,,
410471,"Dr Selvi Ramasamy","Assistant Professor","LRG Government Arts College for Women","Department of Economics","MA","",,,,,,,,,,,,,,
376086,"Dr Senthamarai S","Associate Professor","Holy Cross College, Tiruchirappalli","Department of Economics","PhD","",,,,,,,,,,,,,,
395552,"Dr Senthamizh Veena","Assistant Professor","Holy Cross College, Tiruchirappalli","Department of Economics","Ph.D","Bharathidasan University",2021,,,,,,,,,,,,,
118155,"Dr Seshanwita Das","Associate Professor","Christ University","Department of Commerce","PhD","University of Rajasthan",2014,"M.Com (EAFM)","University of Rajasthan",2007,,,,,,,,,,5
95055,"Dr Shaharban V","Assistant Professor","Kannur University","Department of Economics","Ph.D","",,,,,,,,,,,,,,20
220861,"Dr Shaharban V","Assistant Professor","Kannur University","Department of Economics","Ph.D","Kannur University",2014,"M.A","Pondicherry University",2001,,,,,,,,,,10
123462,"Dr Shalinee Uttamrao Kadam","Assistant Professor","Swami Ramanand Teerth Marathwada University","School of Social Sciences","Ph.D","Nagpur University",2010,,,,,,,,,,,,,
335286,"Dr Shalini Arora","Associate Professor","DPG Degree College","Commerce","wos_Economics","CCS University, Meerut",2009,,,,,,,,,,,,,
133096,"Prof Shalini Sharma","Director","Amity University, Noida","Amity School of Economics (Noida)","PhD","",,,,,,,,,,,,,,
195569,"Dr Shamna Thachaparamban","Assistant Professor","University of Calicut","Department of Economics","PhD","university of calicut",2016,,,,,,,,,,,,,8
175159,"Dr Shanmuga Priyaa G","Assistant Professor","Nirmala College for Women, Coimbatore","Department of Economics","Ph.D","Bharathiar University",2018,,,,,,,,,,,,,
379876,"Dr Shanmugha Priya E","Assistant Professor","Avinashilingam Institute for Home Science and Higher Education for Women","Economics","Ph.D","PSG College of Arts and Science",2015,,,,,,,,,,,,,
104408,"Dr Shanthi M","Assistant Professor","Avinashilingam Institute for Home Science and Higher Education for Women, Coimbatore","Economics","PhD","Avinashilingam Institute for Home Science and Higher Education for Women, Coimbatore",2018,,,,,,,,,,,,,1
374139,"Dr Shanthi S","Associate Professor","Mount Carmel College, Bangalore","Department of Economics","Ph.d","Bharathiyar University",2019,,,,,,,,,,,,,
421913,"Dr Shanthi V","Assistant Professor","Arignar Anna Government Arts College, NAMAKKAL","Economics","Ph.D","Bharathidasan University",2020,"M.A.","Seethalakshmi Ramaswami College,Trichy.",2004,"B.A.","Seethalakshmi Ramaswami College,Trichy.",2002,,,,,,,1
111700,"Dr Shanu S","Assistant Professor","Government College for Women, Srikakulam","Department of Economics","Ph.D","University of Kerala",,,,,,,,,,,,,,
100355,"Dr Sheela M","Assistant Professor","The American College","Department of Economics","Ph.D","Madurai Kamaraj University",2008,,,,,,,,,,,,,7
335159,"Dr Sheela Yadav","Assistant Professor","Lalit Narayan Mithila University","Department of Economics","PhD","Jawahar Lal Nehru University New Delhi",2019,,,,,,,,,,,,,
201147,"Dr Sheetal Mundra","Associate Professor","JK Lakshmipat University","Institute of Management","Ph.D","MDS University, Ajmer",2005,,,,,,,,,,,,,1
104398,"Dr Sherly Thomas (retired)","Professor","Avinashilingam Institute for Home Science and Higher Education for Women, Coimbatore","Economics","PhD","Avinashilingam Institute for Home Science and Higher Education for Women, Coimbatore",2004,,,,,,,,,,,,,
216089,"Dr Shikha Dikshit","Associate Professor","Jagat Taran Girls Degree College","Department of Economics","D. Phil.","University of Allahabad",1994,"M. A.","University of Allahabad",1984,,,,,,,,,,
206877,"Dr Shilly John","Assistant Professor","Modern College of Arts, Science and Commerce, Ganeshkhind","Economics","PhD","",,,,,,,,,,,,,,
222283,"Dr Shilpa Chaudhary","Associate Professor","Janki Devi Memorial College","Department of Economics","Ph.D.","Department of Economics, Delhi School of Economics, University of Delhi",2014,"M-Phil","Department of Economics, Delhi School of Economics, University of Delhi",2001,"M.A.(Economics)","Department of Economics, Delhi School of Economics, University of Delhi",1997,,,,,,,9
445036,"Dr Shilpi Gupta","Associate Professor","Manipal University Jaipur","Department of Economics","PhD","University of Rajasthan",2013,,,,,,,,,,,,,
102160,"Dr Shobana Nelasco","Associate Professor","Fatima College, Madurai","Department of Economics","Ph.D","Madurai Kamraj University",2006,,,,,,,,,,,,,
108021,"Dr Shrabanti Maity","Assistant Professor","Assam University","Department of Economics","Ph.D","",,,,,,,,,,,,,,
230901,"Dr Shreya Biswas","Assistant Professor","Birla Institute of Technology and Science, Pilani","Department of Economics and Finance","Ph.D","Indira Gandhi Institute of Development Research",2017,"MSc","Indira Gandhi Institute of Development Research",2009,"B.Sc.","St. Xavier's college",2007,,,,,,,24
336790,"Dr Shruti Shastri","Associate Professor","Banasthali Vidyapith","Department of Economics","PhD","BITS Pilani",2018,,,,,,,,,,,,,15
310360,"Dr Shuba T","Assistant Professor","M V Muthiah Government Arts College for Women, Dindigul","Department of Economics","PhD","Madurai Kamaraj University",2017,,,,,,,,,,,,,
329144,"Dr Shweta Gakhreja","Assistant Professor","Manipal University Jaipur","Department of Economics","PhD","Mohan Lal Sukhadia University",2009,,,,,,,,,,,,,
285209,"Dr Shyamala Balakumaran","Assistant Professor","Ethiraj College for Women, Chennai","Department of Economics","Ph.D","Ethiraj College for Women, Affialiated to University of Madras",2008,,,,,,,,,,,,,
254625,"Dr Shyamala Perumal","Associate Professor","Bharathi Womens College","Economics","Ph.D","University of Madras",2014,,,,,,,,,,,,,5
259619,"Dr Shyni T Alexander","Associate Professor","Catholicate College","Department of Economics","Ph D","Mahatma Gandhi University",2014,"B Ed","Mount Tabor Training College, Pathanapuram",2000,"MA","SB College Changanassery",1999,"BA","Mar Ivanios College, Thiruvananthapuram",1997,,,,15
111792,"Dr Siddagangamma ","Professor","Kannada University Hampi","Department of Development Studies","Ph.D","",,,,,,,,,,,,,,
114314,"Dr Simran Kaur","Assistant Professor","Panjab University, Chandigarh","Department of Evening Studies, Multi Disciplinary Research Centre","MA","Panjab University, Chandigarh",,,,,,,,,,,,,,
246047,"Dr Simran Kaur","Associate Professor","Manav Rachna International Institute of Research and Studies","Department of Commerce","Certification-NPTEL","IIT",2022,"Post Graduate Program in Management","Institute of Management Technology",2010,"Post Graduate Diploma in Human Resource Management","Institute of Management Technology",2009,"Ph.D.","Mohanlal Sukhadia University",2007,"M.Com","Mohanlal Sukhadia University",2002,39
251498,"Prof Simranjeet Kaur","Assistant Professor","Lyallpur Khalsa College Technical Campus","Department of Management","UGC-NET","UGC-NET",2015,"MA Economics","Lyallpur Khalsa College, Jalandhar",2014,"B.Sc Economics","lyallpur Khalsa College, Jalandhar",2012,,,,,,,3
195419,"Dr Sindhu R","Assistant Professor","Rani Anna Government College for Women, Tirunelveli","Department of Economics","Ph.D","M.S.University, Tirunelveli",2011,,,,,,,,,,,,,
289103,"Dr Sindhu Vasireddy","Assistant Professor","Tata Institute of Social Sciences","School of Vocational Education","Ph.D.","University of Hawaii",2019,,,,,,,,,,,,,12
466040,"Dr Sindhu Vasireddy","Assistant Professor","Mahindra University","Department of Management","PhD","University of Hawai at Manoa, USA",2019,,,,,,,,,,,,,4
